DOMAIN,FQDN,URL,keywordInURL,title,description,keywords,hyperlinks,admission,engineering,management,gre,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/computer-science/computer-science-meng-cornell-nyc-tech,False,"Computer Science, M.Eng. (Cornell NYC Tech) | Graduate School",,,0,0,3,4,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/331,False,"Computer Science, M.S. (Ithaca) | Graduate School",,,0,1,1,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/computer-science/computer-science-phd-ithaca,False,"Computer Science, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/computer-science/information-systems-ms-ithaca,False,"Information Systems, M.S. (Cornell NYC Tech) | Graduate School",,,0,0,3,1,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/conservation-and-sustainable-development-minor,False,Conservation and Sustainable Development (minor) | Graduate School,,,0,1,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/demography-minor,False,Demography (minor) | Graduate School,,,0,1,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/design-and-environmental-analysis,False,Design and Environmental Analysis | Graduate School,,,0,0,1,5,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/design-and-environmental-analysis/design-ma-ithaca,False,"Design, M.A. (Ithaca) | Graduate School",,,0,2,3,5,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/design-and-environmental-analysis/human-behavior-and-design-phd-ithaca,False,"Human Behavior and Design, Ph.D. (Ithaca) | Graduate School",,,0,2,3,5,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/design-and-environmental-analysis/human-environment-relations-ms-ithaca,False,"Human-Environment Relations, M.S. (Ithaca) | Graduate School",,,0,2,3,6,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/development-sociology,False,Development Sociology | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/development-sociology/development-sociology-ms-phd-ithaca,False,"Development Sociology, M.S./Ph.D. (Ithaca) | Graduate School",,,0,2,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/development-sociology/development-sociology-phd-ithaca,False,"Development Sociology, Ph.D. (Ithaca) | Graduate School",,,0,2,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/ecology-and-evolutionary-biology,False,Ecology and Evolutionary Biology | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/ecology-ms-ithaca,False,"Ecology, M.S. (Ithaca) | Graduate School",,,0,1,1,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/ecology-phd-ithaca,False,"Ecology, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/evolutionary-biology-ms-ithaca,False,"Evolutionary Biology, M.S. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/ecology-and-evolutionary-biology/evolutionary-biology-phd-ithaca,False,"Evolutionary Biology, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/economics,False,Economics | Graduate School,,,0,0,1,1,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/economics/economics-phd-ithaca,False,"Economics, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/electrical-and-computer-engineering,True,Electrical and Computer Engineering | Graduate School,,,0,0,18,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/electrical-and-computer-engineering/electrical-and-computer-engineering-meng-ithaca,True,"Electrical and Computer Engineering, M.Eng. (Ithaca) | Graduate School",,,0,1,10,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/electrical-and-computer-engineering/electrical-and-computer-engineering-meng-cornell-nyc-tech,True,"Electrical and Computer Engineering, M.Eng. (Cornell NYC Tech) | Graduate School",,,0,0,12,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/electrical-and-computer-engineering/electrical-and-computer-engineering-phd-ithaca,True,"Electrical and Computer Engineering, Ph.D. (Ithaca) | Graduate School",,,0,1,13,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/english-language-and-literature,False,English Language and Literature | Graduate School,,,0,0,1,0,3,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/english-language-and-literature/creative-writing-mfa-ithaca,False,"Creative Writing, M.F.A. (Ithaca) | Graduate School",,,0,1,2,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/english-language-and-literature/english-language-and-literature-phd-ithaca,False,"English Language and Literature, Ph.D. (Ithaca) | Graduate School",,,0,1,2,0,3,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/entomology,False,Entomology | Graduate School,,,0,0,1,3,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/entomology/entomology-ms-ithaca,False,"Entomology, M.S. (Ithaca) | Graduate School",,,0,1,1,1,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/entomology/entomology-ms-phd-ithaca,False,"Entomology, M.S./Ph.D. (Ithaca) | Graduate School",,,0,1,1,1,2,
